SYMBOL,SYMBOL P/E,ADJUSTED P/E
OBEROIRLTY,24.78,24.61
PRESTIGE,52.55,52.55
SHAH,23.38,23.38
CGCL,23.23,23.23
RESPONIND,44.62,44.39
COALINDIA,8.54,8.54
IOLCP,36.92,35.08
GRAVITA,32.01,32.01
JINDWORLD,65.81,66.57
PENIND,16.82,16.82
RPPINFRA,75.49,111.03
JAMNAAUTO,22.56,21.81
SUMEETINDS,27.62,26.86
MOIL,16.77,16.77
ZEELEARN,4.71,8.87
A2ZINFRA,57.02,70.88
KIRLOSENG,60.13,57.46
RKDL,247.99,34.51
PSB,11.58,11.58
FMNL,7.31,7.31
SURANASOL,19.70,19.70
SHEKHAWATI,5.15,5.15
BFINVEST,4.34,4.34
KICL,54.62,48.87
SUMMITSEC,13.10,13.10
STEL,55.54,55.54
TEXRAIL,22.36,22.09
HFCL,59.09,59.09
INDTERRAIN,322.92,141.08
DHUNINV,3.71,3.71
LOVABLE,33.64,33.64
PFS,7.91,7.84
MUTHOOTFIN,9.96,9.96
VADILALIND,23.81,23.81
SYMPHONY,,40.96
PIIND,30.80,33.21
RELAXO,43.91,43.91
OMINFRAL,23.58,23.58
VSTTILLERS,32.42,32.43
DELPHIFX,50.18,35.46
KARMAENG,49.70,49.70
ASHIANA,29.57,29.57
DHANUKA,16.29,16.29
MAITHANALL,10.29,10.29
RUSHIL,20.94,20.94
INVENTURE,30.34,35.35
LTF,24.40,24.25
WINDMACHIN,460.02,6996.86
IBULLSLTD,11.88,10.47
BODALCHEM,30.46,30.45
GAYAPROJ,0.55,7.69
ASAHISONG,12.94,12.94
FILATEX,17.72,17.72
BROOKS,14.24,14.24
TDPOWERSYS,86.67,86.67
APLLTD,23.27,21.60
PGEL,75.52,75.52
PANAMAPET,6.21,6.21
PAISALO,30.05,29.98
ONELIFECAP,12.01,12.01
SHAKTIPUMP,29.24,29.24
TRITURBINE,53.05,51.38
INDOTHAI,8.20,8.20
ESSARSHPNG,1.87,
DSSL,15.47,15.47
JISLDVREQS,,58.32
POLYMED,56.61,55.73
RUPA,14.85,14.27
VIKASECO,67.16,67.16
APLAPOLLO,49.58,49.58
KANANIIND,13.25,13.25
MINDACORP,33.68,42.63
THOMASCOTT,17.99,17.11
DBSTOCKBRO,33.01,33.01
IRFC,14.74,14.74
COMPUSOFT,36.01,
RHIM,,35.60
SCHNEIDER,155.48,149.82
NDL,11.38,11.38
NBCC,29.61,32.08
TBZ,15.65,15.65
VSSL,26.45,26.45
SWANCORP,44.87,44.87
SPECIALITY,30.11,26.78
CINELINE,25.93,21.01
SAMPANN,16.80,16.80
PROZONER,51.78,51.78
THEJO,43.88,42.44
MAYURUNIQ,15.87,15.87
ROSSELLIND,18.14,17.81
DUCON,10.82,10.82
