Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
23 JUL 2026,AHLUCONT,EQ,AHLUWALIA CONT IND LTD   ,Listed    ,23 JUL 2026,               2.00,          66987560,            800.20,    53603445512.00  
23 JUL 2026,AHLWEST,BE,ASIAN HOTELS (WEST) LTD  ,Listed    ,23 JUL 2026,              10.00,          11651210,            573.50,     6681968935.00   
23 JUL 2026,AIAENG,EQ,AIA ENGINEERING LIMITED  ,Listed    ,23 JUL 2026,               2.00,          93320370,           4582.00,   427593935340.00    
23 JUL 2026,AIIL,EQ,AUTHUM INVEST & INFRA LTD,Listed    ,23 JUL 2026,               1.00,         849225500,            540.65,   459133766575.00      
23 JUL 2026,AILIMITED,ST,ABHISHEK INTEGRATIONS LTD,Listed    ,23 JUL 2026,              10.00,           6021570,             41.55,      250196233.50 
23 JUL 2026,AIMTRON,SM,AIMTRON ELECTRONICS LTD  ,Listed    ,23 JUL 2026,              10.00,          20609177,           1307.75,    26951651221.75   
23 JUL 2026,AIRAN,EQ,AIRAN LIMITED            ,Listed    ,23 JUL 2026,               2.00,         125020000,             15.20,     1902804400.00     
23 JUL 2026,AIROLAM,EQ,AIRO LAM LIMITED         ,Listed    ,23 JUL 2026,              10.00,          15002000,             87.15,     1307424300.00   
23 JUL 2026,AISL,SM,ANI INTEGRATED SERV LTD. ,Listed    ,23 JUL 2026,              10.00,          11687200,             62.00,      724606400.00      
23 JUL 2026,AJANTPHARM,EQ,AJANTA PHARMA LIMITED    ,Listed    ,23 JUL 2026,               2.00,         124935624,           3439.90,   429766052997.60
23 JUL 2026,AJAXENGG,EQ,AJAX ENGINEERING LIMITED ,Listed    ,23 JUL 2026,               1.00,         114406800,            572.60,    65509333680.00  
23 JUL 2026,AJMERA,EQ,AJMERA REALTY & INF I LTD,Listed    ,23 JUL 2026,               2.00,         196795650,            123.10,    24225544515.00    
23 JUL 2026,AJOONI,EQ,AJOONI BIOTECH LIMITED   ,Listed    ,23 JUL 2026,               2.00,         172243598,              3.95,      680362212.10    
23 JUL 2026,AKANKSHA,ST,AKANKSHA POWER N INFRA L ,Listed    ,23 JUL 2026,              10.00,          19580520,             86.95,     1702526214.00  
23 JUL 2026,AKASH,EQ,AKASH INFRA-PROJECTS LTD ,Listed    ,23 JUL 2026,              10.00,          16862534,             26.60,      448880655.10     
23 JUL 2026,AKCAPIT,EQ,A K CAPITAL SERVICES LTD.,Permitted ,23 JUL 2026,              10.00,           6600000,           1756.00,    11589600000.00   
23 JUL 2026,AKG,EQ,AKG EXIM LIMITED         ,Listed    ,23 JUL 2026,              10.00,          31776576,              9.30,      296157688.30       
23 JUL 2026,AKI,EQ,AKI INDIA LIMITED        ,Listed    ,23 JUL 2026,               2.00,         103205956,              4.45,      458234444.65       
23 JUL 2026,AKIKO,ST,AKIKO GLOBAL SERVICES L  ,Listed    ,23 JUL 2026,              10.00,          10769600,            332.00,     3575507200.00     
23 JUL 2026,AKSHAR,EQ,AKSHAR SPINTEX LIMITED   ,Listed    ,23 JUL 2026,               1.00,         787468500,              0.40,      330736770.00    
23 JUL 2026,AKSHARCHEM,BE,AKSHARCHEM INDIA LIMITED ,Listed    ,23 JUL 2026,              10.00,           8033099,            233.15,     1872756369.85
23 JUL 2026,AKSHOPTFBR,BE,AKSH OPTIFIBRE  LTD      ,Listed    ,23 JUL 2026,               5.00,         162697971,              5.90,      956664069.50
23 JUL 2026,AKUMS,EQ,AKUMS DRUGS AND PHARMA L ,Listed    ,23 JUL 2026,               2.00,         157393988,            695.90,   109530476249.20     
23 JUL 2026,ALANKIT,EQ,ALANKIT LIMITED          ,Listed    ,23 JUL 2026,               1.00,         271158100,              7.90,     2142148990.00   
23 JUL 2026,ALBERTDAVD,EQ,ALBERT DAVID LIMITED     ,Listed    ,23 JUL 2026,              10.00,           5707162,            683.55,     3901130585.10
23 JUL 2026,ALCODIS,ST,ALCOKRAFT DISTILLERIE LTD,Listed    ,23 JUL 2026,              10.00,          10250000,             71.00,      727750000.00   
23 JUL 2026,ALEMBICLTD,EQ,ALEMBIC LIMITED          ,Listed    ,23 JUL 2026,               2.00,         256781828,             88.30,    22673835412.40
23 JUL 2026,ALGOQUANT,EQ,ALGOQUANT FINTECH LIMITED,Listed    ,23 JUL 2026,               1.00,         281096028,             65.40,    18389302151.75 
23 JUL 2026,ALICON,EQ,ALICON CASTALLOY LIMITED ,Listed    ,23 JUL 2026,               5.00,          16411840,            637.10,    10455983264.00    
23 JUL 2026,ALIVUS,EQ,ALIVUS LIFE SCIENCES LTD ,Listed    ,23 JUL 2026,               2.00,         122739448,           1102.80,   135357063254.40    
23 JUL 2026,ALKALI,BE,ALKALI METALS LTD        ,Listed    ,23 JUL 2026,              10.00,          10182506,             74.85,      762160574.10    
23 JUL 2026,ALKEM,EQ,ALKEM LABORATORIES LTD.  ,Listed    ,23 JUL 2026,               2.00,         119565000,           5602.00,   669803130000.00     
23 JUL 2026,ALKYLAMINE,EQ,ALKYL AMINES CHEM. LTD   ,Listed    ,23 JUL 2026,               2.00,          51144052,           1812.20,    92683251034.40
23 JUL 2026,ALLCARGO,EQ,ALLCARGO LOGISTICS LTD   ,Listed    ,23 JUL 2026,               2.00,        1497778469,              8.00,    11967249967.30  
23 JUL 2026,ALLDIGI,EQ,ALLDIGI TECH LIMITED     ,Listed    ,23 JUL 2026,              10.00,          15238326,            836.05,    12740002452.30   
23 JUL 2026,ALLETEC,ST,ALL E TECHNOLOGIES LTD   ,Listed    ,23 JUL 2026,              10.00,          20194176,            136.60,     2758524441.60   
23 JUL 2026,ALLTIME,EQ,ALL TIME PLASTICS LIMITED,Listed    ,23 JUL 2026,               2.00,          65507778,            223.85,    14664571183.10   
23 JUL 2026,ALMONDZ,EQ,ALMONDZ GLOBAL SEC LTD   ,Listed    ,23 JUL 2026,               1.00,         174899756,             13.00,     2270198832.90   
23 JUL 2026,ALOKINDS,EQ,ALOK INDUSTRIES LIMITED  ,Listed    ,23 JUL 2026,               1.00,        4965240401,             12.00,    59682189620.00  
23 JUL 2026,ALPA,EQ,ALPA LABORATORIES LTD    ,Listed    ,23 JUL 2026,              10.00,          21040600,             66.80,     1405722486.00      
23 JUL 2026,ALPEXSOLAR,SM,ALPEX SOLAR LIMITED      ,Listed    ,23 JUL 2026,              10.00,          25543000,            845.20,    21588943600.00
23 JUL 2026,ALPHAGEO,EQ,ALPHAGEO (INDIA) LIMITED ,Listed    ,23 JUL 2026,              10.00,           6364767,            200.75,     1277854270.60  
23 JUL 2026,ALPINETEX,BE,ALPINE TEXWORLD LIMITED  ,Listed    ,23 JUL 2026,              10.00,          38247000,             90.05,     3443759880.00 
23 JUL 2026,ALUWIND,SM,ALUWIND INFRA-TECH LTD   ,Listed    ,23 JUL 2026,              10.00,          24847420,             48.05,     1193918531.00   
23 JUL 2026,AMAGI,EQ,AMAGI MEDIA LABS LIMITED ,Listed    ,23 JUL 2026,               5.00,         216338944,            655.35,   141777726950.40     
23 JUL 2026,AMANTA,BE,AMANTA HEALTHCARE LIMITED,Listed    ,23 JUL 2026,              10.00,          38829351,            166.00,     6445672266.00    
23 JUL 2026,AMBAAUTO,SM,AMBA AUTO SALES AND SER L,Listed    ,23 JUL 2026,              10.00,          18324000,             81.10,     1486076400.00  
23 JUL 2026,AMBALALSA,EQ,AMBALAL SARABHAI ENT L   ,Permitted ,23 JUL 2026,              10.00,          76633296,             32.65,     2502843447.35 
23 JUL 2026,AMBANIORGO,SM,AMBANI ORGOCHEM LIMITED  ,Listed    ,30 JUN 2026,              10.00,           7658659,            118.00,      903721762.00
23 JUL 2026,AMBER,EQ,AMBER ENTERPRISES (I) LTD,Listed    ,23 JUL 2026,              10.00,          35267767,           7430.00,   262039508810.00     
23 JUL 2026,AMBICAAGAR,EQ,AMBICA AGAR & AROMAINDLTD,Listed    ,23 JUL 2026,              10.00,          17177400,             24.65,      423594684.00
23 JUL 2026,AMBIKCO,EQ,AMBIKA COTTON MILL LTD.  ,Listed    ,23 JUL 2026,              10.00,           5725000,           1697.10,     9715897500.00   
23 JUL 2026,AMBUJACEM,EQ,AMBUJA CEMENTS LTD       ,Listed    ,23 JUL 2026,               2.00,        2484817186,            423.55,  1052444319130.30 
23 JUL 2026,AMCL,SM,ANB METAL CAST LIMITED   ,Listed    ,23 JUL 2026,              10.00,          11834780,            422.00,     4994277160.00      
23 JUL 2026,AMDIND,EQ,AMD INDUSTRIES LIMITED   ,Listed    ,23 JUL 2026,              10.00,          19166749,             48.90,      936870691.10    
23 JUL 2026,AMEYA,SM,AMEYA PRECISION ENG LTD  ,Listed    ,23 JUL 2026,              10.00,           7500000,            104.95,      787125000.00     
23 JUL 2026,AMIABLE,SM,AMIABLE LOGISTICS (I) LTD,Listed    ,03 JUL 2026,              10.00,           1748200,             72.95,      127531190.00   
23 JUL 2026,AMJLAND,EQ,AMJ LAND HOLDINGS LIMITED,Listed    ,23 JUL 2026,               2.00,          41000000,             37.30,     1528480000.00   
23 JUL 2026,AMNPLST,EQ,AMINES & PLASTICIZERS LTD,Listed    ,23 JUL 2026,               2.00,          55020000,            194.60,    10706341800.00   
23 JUL 2026,AMRUTANJAN,EQ,AMRUTAJAN HEALTH LTD     ,Listed    ,23 JUL 2026,               1.00,          28910630,            519.80,    15027745474.00
23 JUL 2026,ANANDRATHI,EQ,ANAND RATHI WEALTH LTD   ,Listed    ,23 JUL 2026,               5.00,         166041268,           2049.10,   340235162258.80
23 JUL 2026,ANANTAM,IV,ANANTAM HIGHWAYS TRUST   ,Listed    ,23 JUL 2026,             100.00,         217500000,            104.95,    22824450000.00   
23 JUL 2026,ANANTRAJ,EQ,ANANT RAJ LIMITED        ,Listed    ,23 JUL 2026,               2.00,         359876930,            587.15,   211301739449.50  
23 JUL 2026,ANDHRAPAP,EQ,ANDHRA PAPER LIMITED     ,Listed    ,23 JUL 2026,               2.00,         198850195,             62.10,    12344620105.60 
23 JUL 2026,ANDHRSUGAR,EQ,ANDHRA SUGARS LTD        ,Listed    ,23 JUL 2026,               2.00,         135535390,             85.40,    11577433013.80
23 JUL 2026,ANGELONE,EQ,ANGEL ONE LIMITED        ,Listed    ,23 JUL 2026,               1.00,         913349399,            306.05,   279530583563.95  
23 JUL 2026,ANIKINDS,BE,ANIK INDUSTRIES LTD      ,Listed    ,23 JUL 2026,              10.00,          27753486,             40.90,     1134562507.70  
23 JUL 2026,ANKITMETAL,BZ,ANKIT MET & POW LTD      ,Listed    ,23 JUL 2026,              10.00,         141110500,              1.50,      211665750.00
23 JUL 2026,ANLON,ST,ANLON TECHNOLOGY SOL LTD ,Listed    ,23 JUL 2026,              10.00,           6255400,            632.95,     3959355430.00     
23 JUL 2026,ANMOL,EQ,ANMOL INDIA LIMITED      ,Listed    ,23 JUL 2026,              10.00,          56914150,             10.20,      581662613.00     
