SYMBOL,SYMBOL P/E,ADJUSTED P/E
APTECHT,25.10,23.45
SURANAT&P,12.12,12.16
TEAMGTY,286.09,286.09
OFSS,36.61,36.61
UNIONBANK,6.55,6.55
NUCLEUS,17.12,14.99
CANBK,6.63,6.63
GENESYS,42.94,39.86
OMAXAUTO,13.23,12.70
GODREJIND,20.77,20.28
DIVISLAB,70.00,68.55
RADICO,91.65,89.77
INDORAMA,8.39,8.24
MARUTI,31.75,31.75
VARDHACRLC,13.11,13.11
UCOBANK,11.96,11.96
BAGFILMS,18.16,18.16
JSL,18.00,17.75
NSIL,49.82,49.81
WELSPUNLIV,75.63,73.32
JAIBALAJI,47.85,46.66
TVSELECT,728.84,459.17
IGL,17.16,17.16
DREDGECORP,617.30,617.30
TVTODAY,59.26,1.04
UNIENTER,35.82,35.82
UPL,21.01,21.09
MUKANDLTD,3.14,3.14
PETRONET,11.01,11.01
PTC,7.15,7.11
VAIBHAVGBL,14.90,14.91
BIOCON,178.84,68.78
MAHABANK,9.11,9.11
POONAWALLA,76.66,76.66
XPROINDIA,168.99,168.99
RKFORGE,131.83,103.49
DATAMATICS,25.96,21.68
CCL,41.02,41.02
EXCELINDUS,15.14,15.14
LT,28.66,26.90
APARINDS,58.21,56.81
AMBICAAGAR,12.53,12.53
CENTEXT,13.65,13.12
NIITLTD,223.24,93.10
ULTRACEMCO,41.84,41.28
TCS,15.34,14.34
COFORGE,40.08,36.63
TEXINFRA,148.15,148.15
GULFPETRO,7.63,7.03
GUFICBIO,59.41,59.41
ASTRAMICRO,91.38,91.38
WELENT,20.73,19.48
NTPC,13.92,13.92
KOTARISUG,32.66,
JBMA,58.93,57.59
DWARKESH,26.37,26.37
SUPRAJIT,36.58,36.38
PATELENG,12.30,7.70
XCHANGING,11.80,11.80
JSWSTEEL,11.73,30.22
CONSOFINVT,13.66,13.66
JINDALPHOT,308.31,308.31
JPPOWER,26.71,26.71
EVEREADY,15.52,
GOKEX,61.89,61.89
SAKSOFT,17.56,17.11
ALLDIGI,15.06,13.86
IIFL,12.28,12.28
WELCORP,31.80,31.80
SSWL,20.00,20.00
CYBERMEDIA,8.62,8.99
SHAHALLOYS,3.89,
SURYALAXMI,36.22,38.74
JKPAPER,23.25,22.42
PRIMESECU,65.94,36.48
GRANULES,35.96,35.65
JSWHL,107.44,105.91
GEOJITFSL,27.95,26.06
GENUSPOWER,16.67,16.67
YESBANK,21.46,21.46
MSPL,69.17,17.24
SPLIL,12.97,12.97
MCLEODRUSS,,23.95
SEMAC,14.18,14.18
GOLDIAM,29.80,29.80
RML,31.53,30.54
HTMEDIA,,12.70
SASKEN,50.89,46.74
IMPAL,15.31,15.31
SUZLON,23.62,24.16
AURIONPRO,22.08,21.66
BASML,13.87,13.87
TRIVENI,36.92,35.87
AIAENG,35.37,35.30
NAHARINDUS,9.95,9.82
ORIENTCER,22.11,20.79
EKC,8.94,9.10
VIMTALABS,31.87,31.41
KERNEX,41.71,41.71
PVRINOX,60.96,46.39
NITINSPIN,17.14,17.14
ROHLTD,31.92,33.12
ENIL,,221.78
JAGRAN,7.54,7.54
