SYMBOL,SYMBOL P/E,ADJUSTED P/E
PHOENIXLTD,47.93,47.22
NDLVENTURE,473.81,473.81
ZENITHSTL,17.12,23.94
BFUTILITIE,7.94,7.94
FORTIS,69.39,68.46
SRHHYPOLTD,9.43,8.44
WEBELSOLAR,14.23,14.21
TGBHOTELS,17.68,17.68
HILTON,35.75,35.75
INSECTICID,13.80,13.80
KMSUGAR,4.92,4.92
NAVINFLUOR,59.11,58.62
TIMETECHNO,20.65,20.65
NAGREEKEXP,24.57,24.57
NELCAST,23.86,23.86
V2RETAIL,50.18,58.04
DLF,61.19,66.14
TARMAT,19.41,19.41
SPARC,5.23,5.19
SIGMAADV,38.28,37.26
ADSL,16.92,16.68
ALPA,10.15,10.39
CENTRALBK,6.58,6.67
ASIANTILES,143.33,143.33
TAKE,75.45,75.45
KPRMILL,44.64,44.64
CIEINDIA,20.80,20.80
PURVA,93.27,93.27
MOTILALOFS,30.82,30.82
INDOWIND,,218.00
NAGREEKCAP,4.08,4.08
KSCL,14.51,14.51
CENTUM,466.77,98.94
POWERGRID,16.26,16.26
CCCL,11.53,
SUPREMEINF,0.14,
MAANALU,54.74,54.74
IL&FSENGG,666.33,115.28
DELTACORP,20.70,20.08
BAJAJELEC,,91.31
ENERGYDEV,,14.91
CERA,38.54,38.03
RELIGARE,119.79,119.79
BVCL,317.79,317.79
ADANIPORTS,33.60,33.13
EDELWEISS,16.84,14.56
RGL,14.27,12.96
KAUSHALYA,91.65,91.65
COLPAL,41.07,40.50
JYOTHYLAB,22.04,22.04
MADHAV,333.19,333.19
KALYANIFRG,23.98,23.98
HITECHCORP,36.32,33.58
ECLERX,23.43,23.43
TARIL,36.77,36.77
BRIGADE,24.98,24.59
MANAKSIA,7.09,7.09
PATINTLOG,10.88,10.88
PPAP,10.31,744.81
ARIES,10.56,10.56
AMBIKCO,13.87,13.87
KAVDEFENCE,287.76,287.76
CEATLTD,27.34,24.77
BIRLAMONEY,14.48,13.86
RPOWER,,165.07
JKIL,9.61,9.40
CORDSCABLE,12.57,12.57
KNRCON,8.34,8.34
SEPC,22.02,21.58
BANG,6.68,5.15
IRB,28.55,27.16
NMDC,9.97,9.97
GSS,,14.92
NAHARCAP,23.34,23.34
RECLTD,5.64,5.64
VGUARD,42.68,40.66
NESCO,18.51,18.51
DPSCLTD,56.00,56.00
TITAGARH,58.45,58.45
KIRIINDUS,0.48,5.13
BAJAJFINSV,14.97,14.78
BAJAJ-AUTO,28.84,28.75
DIGISPICE,20.49,19.12
GOKUL,21.56,21.56
RPGLIFE,41.96,43.11
ALMONDZ,19.02,19.02
ARCHIDPLY,20.06,18.28
LOTUSEYE,3170.41,3039.25
VINYLINDIA,27.92,27.92
UBL,86.27,98.15
LPDC,57.91,57.91
ZFCVINDIA,51.29,50.71
20MICRONS,10.76,10.71
JOCIL,15.55,15.55
ALKALI,153.75,153.75
COUNCODOS,88.16,88.16
TPHQ,488.69,488.69
TATACAP,38.57,38.25
MAWANASUG,11.94,10.18
AJMERA,16.19,16.19
MHRIL,68.48,75.94
VINATIORGA,30.87,30.87
LANDSMILL,92.55,92.55
ADANIPOWER,32.20,32.20
NHPC,18.79,18.79
GLOBUSSPR,30.81,30.81
OIL,10.87,10.87
EXPLEOSOL,10.00,9.33
