SYMBOL,SYMBOL P/E,ADJUSTED P/E
KEI,50.67,50.67
VAKRANGEE,56.60,56.76
SOLARINDS,96.42,96.38
GALLANTT,25.97,25.97
UTTAMSUGAR,8.66,8.57
KKCL,20.39,20.39
SUNTV,13.04,12.60
GPIL,20.32,19.97
RSYSTEMS,13.66,12.60
EMKAY,43.26,43.26
BALPHARMA,22.00,22.00
SWELECTES,16.14,15.65
KAMDHENU,13.00,13.00
RATNAMANI,31.40,30.96
PIONEEREMB,108.17,
JKLAKSHMI,16.80,16.14
PFOCUS,74.52,69.90
MUNJALAU,21.60,24.87
EMAMILTD,22.85,22.58
GMRAIRPORT,485.71,369.05
TECHM,29.58,28.55
GRINDWELL,50.92,50.92
VOLTAMP,43.47,43.47
ANTELOPUS,35.10,35.10
ACE,28.33,28.33
ANANTRAJ,38.13,38.13
TALBROAUTO,29.34,29.34
ALICON,30.33,28.52
GEECEE,16.61,16.61
JMFINANCIL,9.92,9.78
FIEMIND,24.01,24.01
DCBBANK,7.62,7.62
INSPIRISYS,9.99,9.48
GTLINFRA,2.01,
NAUKRI,42.91,43.85
VGL,25.33,25.33
GESHIP,6.98,6.98
TORNTPOWER,29.26,29.26
MANALIPETC,8.84,16.98
LTFOODS,21.06,21.06
DONEAR,10.26,10.26
RUCHIRA,11.70,11.70
SOBHA,63.03,63.03
VENUSREM,18.97,18.97
JINDRILL,10.16,9.96
HIRECT,115.94,113.14
NFL,20.33,20.33
PLASTIBLEN,11.49,11.49
PARACABLES,33.76,33.77
HBLENGINE,20.36,19.83
TANLA,14.93,14.93
AVTNPL,16.45,16.45
ZEEMEDIA,275.50,78.04
VEEDOL,15.11,15.11
LUMAXTECH,29.63,28.79
SARLAPOLY,,15.60
PTL,11.26,11.26
WANBURY,17.53,16.67
AUTOIND,10.35,23.78
GANDHITUBE,15.43,15.26
PITTIENG,29.43,29.43
UNOMINDA,62.88,61.66
IZMO,34.75,34.75
HUBTOWN,16.48,16.48
CTE,129.75,129.75
TIIL,19.85,19.85
ORIENTBELL,41.34,38.10
PGIL,33.77,33.64
REDINGTON,15.77,14.65
TTL,638.62,638.62
FSL,26.21,23.65
PFC,4.04,4.04
SMSPHARMA,40.56,40.56
INDIANB,8.87,8.87
ORIENTALTL,21.76,16.30
IDEA,4.12,
PAGEIND,58.81,56.89
LAOPALA,22.17,21.83
